studentId,variant,Q1,Q2,Q3,Q4,Q5
001,1,A,B,C,D,A
002,1,B,A,D,C,B
003,1,A,C,B,A,C
004,1,C,B,A,D,B
005,1,B,A,C,B,A
006,2,A,B,C,D,A
007,2,C,A,B,C,D
008,2,B,C,A,B,C
009,2,A,D,B,A,B
010,2,D,A,C,B,A
011,3,B,A,D,C,B
012,3,A,C,B,A,C
013,3,C,B,A,D,B
014,3,B,A,C,B,A
015,3,A,B,C,D,A
016,4,C,A,B,C,D
017,4,B,C,A,B,C
018,4,A,D,B,A,B
019,4,D,A,C,B,A
020,4,B,A,D,C,B
021,5,A,C,B,A,C
022,5,C,B,A,D,B
023,5,B,A,C,B,A
024,5,A,B,C,D,A
025,6,C,A,B,C,D
026,6,B,C,A,B,C
027,6,A,D,B,A,B
028,6,D,A,C,B,A
029,7,B,A,D,C,B
030,7,A,C,B,A,C
